diet_group,sex,age_group,n_participants,mean_ghgs,mean_land,mean_watscar,mean_watuse,mean_acid,mean_eut,mean_bio,mean_ghgs_ch4,mean_ghgs_n2o
fish,female,20-29,1329.0,4.903,6.489,17131.963,759.237,22.771,20.985,248.135,0.843,0.322
fish,female,30-39,2024.0,4.943,6.516,17652.629,759.63,23.258,20.948,249.828,0.837,0.322
fish,female,40-49,1689.0,4.927,6.541,17729.965,748.489,23.47,20.714,252.847,0.841,0.32
fish,female,50-59,946.0,4.944,6.566,18446.193,788.932,23.652,20.989,246.79,0.835,0.324
fish,female,60-69,492.0,5.104,6.867,18922.367,819.857,24.455,21.569,258.646,0.88,0.336
fish,female,70-79,195.0,4.991,6.875,18969.983,798.688,23.791,21.032,259.347,0.856,0.34
fish,male,20-29,163.0,5.66,7.382,19671.025,860.98,26.079,24.163,273.612,0.926,0.366
fish,male,30-39,412.0,5.327,6.977,18953.095,818.713,24.71,22.644,262.361,0.855,0.344
fish,male,40-49,432.0,5.202,6.891,18288.938,782.193,24.02,21.837,258.088,0.845,0.334
fish,male,50-59,214.0,5.142,6.694,18449.191,792.177,24.151,21.621,253.041,0.834,0.33
fish,male,60-69,159.0,5.154,7.049,18767.057,799.061,24.006,21.629,259.655,0.866,0.343
fish,male,70-79,68.0,5.304,7.392,19804.958,854.706,24.857,22.635,265.9,0.901,0.358
meat,female,20-29,669.0,6.913,11.484,18869.858,853.067,31.841,29.17,295.261,1.341,0.497
meat,female,30-39,1350.0,7.136,11.994,18849.368,846.421,32.488,29.225,305.727,1.403,0.508
meat,female,40-49,2710.0,7.484,13.124,18754.898,840.702,33.512,29.674,317.037,1.498,0.527
meat,female,50-59,2682.0,7.586,13.377,18907.62,853.522,33.985,29.505,317.634,1.532,0.53
meat,female,60-69,1456.0,7.541,13.031,19476.05,885.594,34.296,29.665,317.101,1.528,0.529
meat,female,70-79,450.0,7.611,13.551,19784.74,884.081,34.07,29.846,324.068,1.555,0.542
meat,male,20-29,151.0,7.387,11.814,20069.386,903.817,34.217,31.492,315.329,1.417,0.527
meat,male,30-39,304.0,7.595,12.457,20166.207,894.984,34.928,31.791,327.736,1.485,0.544
meat,male,40-49,663.0,7.782,13.684,19024.795,825.705,34.777,31.203,330.672,1.541,0.554
meat,male,50-59,671.0,7.753,13.736,18955.504,851.293,34.523,30.633,321.303,1.547,0.546
meat,male,60-69,634.0,7.836,13.972,19187.993,857.248,34.767,30.66,326.034,1.579,0.55
meat,male,70-79,231.0,8.024,14.816,19365.564,870.017,34.587,30.949,329.427,1.649,0.568
meat100,female,20-29,393.0,10.191,20.379,22092.641,971.149,43.737,40.559,387.39,2.111,0.758
meat100,female,30-39,778.0,10.422,21.112,22088.092,963.719,43.953,39.665,394.707,2.165,0.764
meat100,female,40-49,1935.0,11.242,23.997,21672.363,938.614,45.378,40.578,419.277,2.393,0.815
